livestockType,productionType,productionSystem,numberOfAnimals,cycleDuration,location,housingType,vaccinationProgram,vetServiceFrequency,medicationIntensity,feedPrice,laborCost,electricityCost,totalCostEstimation
cattle,dairy,semi-intensive,438,12,North-West,basic,intensive,quarterly,high,20837,40725,5700,307099
cattle,dairy,intensive,472,23,North-Central,premium,standard,monthly,high,15845,60928,21252,349870
poultry,broiler,battery cage,333,17,South-West,premium,minimal,monthly,high,47922,76683,21892,360919
cattle,beef,semi-intensive,437,26,North-Central,premium,minimal,monthly,low,47360,61799,20878,395897
poultry,layer,deep litter,366,21,North-Central,premium,standard,weekly,low,28682,60104,7829,308297
poultry,broiler,intensive,16,71,North-West,basic,minimal,monthly,low,33599,10409,29136,114743
poultry,layer,deep litter,484,39,North-West,standard,minimal,weekly,low,18809,35645,26532,341795
cattle,dairy,intensive,480,30,South-West,premium,intensive,monthly,high,19564,88087,9824,377039
poultry,layer,battery cage,351,35,South-East,premium,minimal,quarterly,high,46566,53517,16806,338955
cattle,beef,extensive,418,21,North-West,premium,intensive,weekly,medium,28602,54949,12598,333751
cattle,beef,extensive,498,33,South-East,premium,minimal,monthly,high,20390,84019,12128,385927
cattle,dairy,intensive,474,22,North-West,standard,standard,weekly,low,40191,73337,24385,415104
poultry,layer,deep litter,258,71,North-West,standard,intensive,quarterly,high,25466,16793,18587,215312
poultry,layer,deep litter,65,31,North-West,premium,intensive,monthly,medium,46512,91300,12673,229497
cattle,beef,extensive,441,29,North-West,premium,intensive,quarterly,high,19759,83507,19413,362938
cattle,beef,semi-intensive,176,28,North-Central,basic,minimal,quarterly,high,17846,11288,22660,157640
poultry,broiler,battery cage,416,36,South-West,standard,minimal,quarterly,low,39528,38600,23629,349285
cattle,beef,semi-intensive,455,28,South-East,premium,standard,quarterly,high,49217,81357,25531,432822
cattle,beef,semi-intensive,120,26,South-West,premium,minimal,quarterly,medium,38216,86323,18593,241348
poultry,broiler,deep litter,333,57,North-Central,basic,minimal,quarterly,low,45600,97946,12196,367842
cattle,beef,semi-intensive,478,21,South-West,premium,minimal,monthly,high,29453,96994,6751,401651
cattle,dairy,extensive,341,34,South-East,standard,standard,weekly,high,17872,63230,23296,292770
cattle,dairy,intensive,369,30,South-East,premium,minimal,monthly,low,34080,63673,23841,340174
poultry,layer,battery cage,143,12,North-West,premium,minimal,weekly,medium,29462,91850,8591,230865
poultry,layer,deep litter,264,30,South-East,basic,standard,quarterly,high,40361,96483,6220,315425
poultry,layer,battery cage,276,19,South-West,premium,standard,quarterly,medium,33369,44441,22744,271923
cattle,dairy,intensive,121,30,South-West,standard,intensive,weekly,low,30840,34571,17514,174265
cattle,beef,extensive,490,29,South-East,premium,intensive,monthly,medium,25120,85056,21836,402132
poultry,broiler,battery cage,444,59,South-East,premium,standard,monthly,medium,28777,11978,9332,300864
poultry,layer,intensive,419,45,North-West,basic,minimal,weekly,high,43350,54818,10981,361999
cattle,beef,intensive,491,26,North-Central,standard,standard,weekly,high,43117,13326,6853,351913
cattle,beef,semi-intensive,189,30,South-West,basic,standard,weekly,low,33060,42075,24692,227387
poultry,layer,deep litter,212,36,North-West,standard,minimal,weekly,high,38688,76435,14740,274551
poultry,broiler,intensive,415,53,North-Central,basic,standard,weekly,low,16713,50508,24152,315586
cattle,dairy,semi-intensive,369,25,South-West,premium,standard,monthly,low,46104,49515,22637,348860
poultry,broiler,battery cage,419,61,North-Central,basic,standard,monthly,medium,20329,93465,17213,360836
cattle,dairy,extensive,360,17,North-Central,premium,intensive,weekly,high,21861,19007,29264,271993
cattle,beef,intensive,271,34,North-Central,basic,minimal,monthly,medium,42053,53481,26659,299746
cattle,beef,extensive,200,21,North-West,basic,intensive,weekly,medium,44202,39748,16882,245034
cattle,beef,extensive,486,14,South-West,basic,standard,quarterly,medium,16342,79361,7920,362965
poultry,broiler,deep litter,59,58,North-Central,basic,minimal,quarterly,low,37556,70868,12548,188028
cattle,beef,extensive,373,35,North-West,standard,standard,weekly,low,34280,46799,19770,321629
cattle,dairy,semi-intensive,71,31,South-East,premium,standard,monthly,high,37071,20438,28325,158405
cattle,dairy,semi-intensive,424,17,South-East,basic,minimal,weekly,medium,15236,85087,6019,333578
poultry,layer,battery cage,347,21,North-West,premium,intensive,weekly,high,45197,19962,26195,310051
poultry,layer,deep litter,240,52,North-West,standard,standard,monthly,low,15054,41533,10858,202499
poultry,broiler,battery cage,129,21,North-Central,basic,minimal,quarterly,medium,21770,24924,14406,147370
cattle,beef,extensive,178,29,North-West,basic,standard,monthly,medium,33110,51473,15134,221827
poultry,broiler,battery cage,188,65,North-West,premium,intensive,weekly,low,18703,93779,10682,235867
poultry,layer,intensive,90,32,North-West,basic,intensive,quarterly,high,25617,20677,18843,135754
cattle,beef,extensive,409,18,South-East,standard,intensive,quarterly,high,15914,78186,7945,322459
cattle,beef,intensive,126,27,South-East,premium,intensive,quarterly,low,44467,26176,21573,199683
cattle,beef,extensive,129,13,South-East,premium,minimal,quarterly,medium,30637,53293,6639,185706
poultry,broiler,intensive,295,24,South-West,premium,minimal,quarterly,high,23607,44393,21491,260598
cattle,beef,semi-intensive,310,29,North-Central,standard,intensive,quarterly,low,26406,33071,15798,256681
poultry,broiler,battery cage,79,80,South-East,premium,intensive,quarterly,high,24073,73551,12176,173373
cattle,dairy,extensive,261,32,North-West,basic,intensive,quarterly,medium,29583,76483,25860,292009
poultry,broiler,intensive,64,80,South-East,basic,minimal,quarterly,medium,44406,61332,6938,189082
cattle,dairy,extensive,368,28,South-East,standard,intensive,weekly,low,23693,47633,27613,306632
poultry,broiler,battery cage,80,39,North-West,premium,minimal,quarterly,high,20062,97893,10635,188652
poultry,layer,intensive,493,58,North-Central,basic,intensive,monthly,low,21783,98367,18505,406938
poultry,layer,deep litter,424,45,South-West,standard,standard,quarterly,low,41972,62895,12664,371503
poultry,layer,intensive,235,69,North-Central,premium,intensive,monthly,low,35099,85929,23180,296807
cattle,dairy,intensive,91,24,South-East,basic,intensive,quarterly,medium,15842,94041,15536,186761
poultry,broiler,intensive,264,7,South-West,premium,standard,weekly,high,23617,39563,24193,242990
cattle,dairy,semi-intensive,336,28,South-East,standard,standard,weekly,medium,28933,40853,9122,275841
cattle,beef,intensive,269,16,North-West,premium,minimal,monthly,high,43597,62833,26783,311310
poultry,layer,battery cage,263,49,South-East,basic,intensive,monthly,low,47384,59854,18645,304767
poultry,broiler,deep litter,229,62,North-West,standard,standard,weekly,high,38786,86941,18402,297415
poultry,layer,deep litter,33,77,South-West,premium,standard,quarterly,medium,17339,17942,8033,77153
poultry,layer,deep litter,379,76,North-Central,basic,standard,monthly,low,44637,11717,22504,312995
poultry,broiler,battery cage,85,42,South-West,standard,intensive,monthly,low,30514,32472,10115,146115
cattle,beef,semi-intensive,23,28,South-East,basic,minimal,weekly,high,34048,53336,26818,159750
cattle,beef,intensive,28,17,South-West,standard,standard,quarterly,high,17075,22956,18076,89182
cattle,dairy,intensive,163,22,North-West,standard,standard,monthly,low,24492,61258,18191,209933
poultry,layer,battery cage,217,8,North-West,basic,standard,quarterly,low,22847,55750,28132,238076
poultry,broiler,intensive,316,56,South-East,basic,minimal,weekly,medium,37847,14530,15933,264157
cattle,dairy,semi-intensive,211,20,North-West,premium,minimal,quarterly,low,47920,50295,9547,261182
cattle,dairy,extensive,264,28,South-West,standard,minimal,weekly,low,18421,67558,27657,264057
poultry,broiler,deep litter,380,40,North-West,premium,intensive,quarterly,medium,29153,67914,22624,338844
poultry,layer,intensive,297,78,South-West,premium,minimal,monthly,medium,37475,31649,9651,264750
cattle,beef,semi-intensive,48,24,North-Central,basic,standard,quarterly,high,24648,17627,11857,102780
cattle,beef,intensive,426,31,North-West,basic,standard,weekly,high,40764,64302,26304,385134
cattle,beef,extensive,11,19,North-Central,premium,minimal,monthly,medium,28073,85704,6053,153403
cattle,dairy,extensive,102,17,North-Central,premium,minimal,quarterly,medium,30665,59297,8939,180566
cattle,beef,semi-intensive,208,27,North-Central,standard,minimal,quarterly,low,41984,65806,10918,264692
cattle,dairy,intensive,363,16,South-East,standard,standard,weekly,high,41809,81544,26359,373021
cattle,beef,extensive,330,21,North-West,basic,intensive,monthly,high,41530,24111,19818,291989
cattle,beef,semi-intensive,205,18,South-West,standard,standard,weekly,low,35865,21471,23969,219670
cattle,dairy,intensive,402,18,North-West,standard,standard,weekly,low,20737,75046,16046,333566
poultry,broiler,battery cage,309,29,North-West,standard,standard,quarterly,low,40070,54262,25619,314521
cattle,dairy,extensive,413,32,South-West,basic,minimal,monthly,high,34291,92651,18386,386119
poultry,layer,deep litter,327,54,North-West,premium,intensive,weekly,high,43528,43758,14420,308734
poultry,layer,deep litter,307,80,North-West,standard,standard,weekly,high,39936,18800,12939,265111
poultry,layer,deep litter,154,46,South-West,basic,minimal,monthly,low,28883,31309,12986,179061
poultry,broiler,deep litter,16,71,North-West,standard,standard,monthly,medium,46792,65429,16170,183183
poultry,layer,deep litter,176,21,South-West,basic,intensive,weekly,high,42860,10657,20382,204759
poultry,broiler,deep litter,172,76,North-Central,basic,minimal,quarterly,high,40799,19772,7655,195025
poultry,broiler,deep litter,137,20,North-West,standard,intensive,weekly,high,24345,23656,25639,166485
poultry,broiler,battery cage,188,63,North-Central,standard,intensive,weekly,high,16072,57474,22398,206016
poultry,layer,intensive,352,29,South-West,basic,intensive,monthly,medium,28145,37757,27874,297921
poultry,layer,deep litter,465,22,South-West,basic,standard,weekly,medium,45898,94554,23752,442602
cattle,beef,extensive,67,19,South-East,premium,intensive,monthly,low,38862,69689,23629,204542
cattle,beef,semi-intensive,182,19,South-East,basic,standard,weekly,high,48250,17770,21573,226843
poultry,layer,deep litter,466,10,South-East,basic,intensive,quarterly,high,45831,43907,6034,374603
cattle,beef,intensive,377,14,North-West,premium,minimal,quarterly,low,23062,94296,15885,344805
poultry,layer,intensive,499,33,South-West,premium,intensive,quarterly,medium,45433,43811,29312,413489
poultry,broiler,battery cage,268,17,North-Central,standard,minimal,monthly,low,25853,54922,25070,265698
poultry,layer,battery cage,292,53,South-East,standard,intensive,weekly,high,48721,84094,9167,336703
cattle,beef,extensive,386,22,South-West,basic,minimal,quarterly,medium,17699,47714,9453,285565
cattle,beef,semi-intensive,170,14,South-East,basic,minimal,monthly,medium,29930,57182,12028,214070
poultry,layer,intensive,300,36,South-West,standard,standard,weekly,medium,48849,18714,24008,290420
poultry,broiler,battery cage,158,18,North-West,basic,intensive,weekly,low,32886,35558,8635,188965
cattle,dairy,extensive,408,20,South-West,basic,intensive,quarterly,high,46709,37829,15327,350574
poultry,layer,battery cage,125,71,North-West,standard,standard,quarterly,high,25485,28439,26625,168534
cattle,dairy,extensive,470,23,North-West,basic,standard,quarterly,low,20290,86522,11805,373907
poultry,broiler,deep litter,65,72,South-East,premium,intensive,monthly,low,29067,61188,20909,172731
poultry,broiler,deep litter,185,65,South-East,basic,minimal,quarterly,low,21846,22357,27466,186015
poultry,layer,intensive,319,27,North-West,basic,intensive,monthly,high,23258,29412,25547,260975
poultry,broiler,intensive,296,53,North-West,premium,intensive,monthly,medium,21294,91937,26542,309067
poultry,broiler,battery cage,47,50,South-East,standard,intensive,monthly,medium,35272,20245,19284,133573
poultry,layer,intensive,456,71,North-Central,premium,intensive,quarterly,high,20057,69953,6476,344543
cattle,dairy,semi-intensive,127,14,South-East,premium,intensive,quarterly,low,32541,18508,21380,168470
cattle,dairy,intensive,167,29,South-East,premium,standard,weekly,high,41471,74335,5866,246643
cattle,dairy,intensive,275,14,North-Central,premium,intensive,quarterly,medium,47708,55718,19337,307971
poultry,broiler,deep litter,229,72,South-West,premium,intensive,monthly,high,37041,80608,22565,291755
poultry,broiler,battery cage,334,78,South-East,basic,minimal,weekly,low,46960,33953,26963,321836
cattle,beef,semi-intensive,234,30,North-West,standard,standard,quarterly,high,27955,30938,22638,226486
cattle,dairy,extensive,199,20,South-East,standard,standard,quarterly,low,19247,98823,26597,263414
cattle,beef,intensive,128,20,South-West,standard,standard,weekly,high,33479,65261,10773,206992
poultry,broiler,intensive,415,60,North-West,standard,intensive,weekly,high,28832,48059,10300,323523
cattle,beef,semi-intensive,254,17,North-Central,standard,standard,monthly,medium,42784,64469,5649,282686
cattle,dairy,extensive,383,28,North-Central,premium,minimal,quarterly,low,40794,13337,23816,310241
poultry,broiler,intensive,255,27,South-West,standard,intensive,quarterly,low,22635,11554,26736,211060
cattle,beef,extensive,97,21,South-West,premium,minimal,quarterly,low,44816,67411,18724,224267
poultry,broiler,deep litter,19,49,North-West,basic,standard,weekly,low,21508,65756,8524,126796
cattle,dairy,extensive,187,13,North-Central,standard,intensive,monthly,medium,18496,95929,22264,248685
cattle,dairy,semi-intensive,366,34,North-Central,basic,intensive,weekly,low,47523,13005,24819,315870
poultry,layer,deep litter,494,47,North-Central,premium,minimal,weekly,high,18645,48345,28986,361621
cattle,dairy,semi-intensive,264,35,North-West,standard,standard,monthly,low,17520,51462,8075,226577
poultry,layer,intensive,396,20,South-East,standard,minimal,quarterly,low,18317,79904,21948,336486
poultry,layer,deep litter,404,44,North-Central,premium,intensive,monthly,low,25736,86355,11419,351246
poultry,broiler,battery cage,367,13,North-West,standard,standard,monthly,medium,46778,66614,22738,366408
poultry,broiler,intensive,73,25,South-West,premium,standard,weekly,medium,43373,69172,19194,211612
cattle,beef,intensive,476,27,North-West,basic,minimal,monthly,high,47117,37141,21718,391093
cattle,beef,intensive,440,14,North-West,basic,intensive,quarterly,high,21969,25343,5525,294806
cattle,beef,semi-intensive,212,29,North-West,basic,intensive,quarterly,low,35192,32105,27983,236472
poultry,broiler,battery cage,249,80,South-West,basic,standard,weekly,medium,39148,20143,28062,251001
cattle,dairy,extensive,224,12,South-East,basic,standard,weekly,medium,49667,60415,12794,284543
poultry,layer,intensive,422,77,South-West,premium,minimal,weekly,low,39769,15006,14537,320081
poultry,layer,battery cage,177,35,North-West,basic,minimal,weekly,high,40998,50246,5463,226205
cattle,beef,semi-intensive,289,28,South-West,basic,minimal,weekly,medium,46812,74972,9730,322826
cattle,beef,extensive,177,21,North-West,basic,intensive,weekly,medium,16636,37306,8666,167744
cattle,dairy,semi-intensive,290,25,South-East,basic,minimal,weekly,low,31634,24213,9872,242353
poultry,broiler,battery cage,143,10,North-West,premium,standard,monthly,high,23041,28460,15185,161227
cattle,beef,semi-intensive,316,16,North-West,basic,intensive,monthly,high,31982,23041,21704,266709
cattle,beef,intensive,381,15,South-West,basic,minimal,quarterly,low,25178,44103,19802,304761
poultry,layer,intensive,495,12,North-Central,standard,intensive,quarterly,low,23803,31751,22347,349204
cattle,dairy,extensive,141,21,South-East,standard,standard,monthly,low,36272,35248,20517,198809
poultry,layer,intensive,378,45,North-West,basic,intensive,quarterly,low,30273,74392,11045,334983
poultry,layer,battery cage,285,79,North-Central,basic,minimal,quarterly,high,24813,23261,15721,231108
poultry,broiler,deep litter,419,42,North-Central,basic,intensive,weekly,high,28427,53043,14081,333478
cattle,dairy,intensive,182,34,South-East,basic,standard,weekly,low,25290,66957,20010,228547
cattle,dairy,intensive,380,29,North-Central,premium,minimal,quarterly,high,47392,41122,19741,345647
poultry,broiler,battery cage,323,11,South-East,standard,minimal,weekly,medium,20424,41306,6086,249740
poultry,layer,intensive,384,70,South-East,basic,intensive,quarterly,low,47484,44319,25833,357120
cattle,dairy,semi-intensive,434,23,South-West,basic,intensive,weekly,low,27920,98157,25629,396626
poultry,layer,intensive,496,44,North-West,premium,minimal,quarterly,medium,31256,74685,5359,390556
cattle,beef,extensive,373,36,North-West,standard,minimal,weekly,medium,27538,65340,6877,313793
poultry,layer,deep litter,68,77,North-Central,basic,intensive,weekly,high,38923,63743,24018,199607
poultry,layer,deep litter,446,51,North-West,premium,intensive,weekly,medium,25184,87352,22175,382895
poultry,broiler,deep litter,355,45,South-West,standard,minimal,weekly,high,16963,54536,25520,291482
poultry,broiler,deep litter,274,40,South-West,basic,minimal,quarterly,low,20423,76308,6791,260945
poultry,layer,battery cage,294,80,South-East,premium,standard,monthly,medium,34814,12075,9432,238135
cattle,dairy,intensive,205,36,North-West,basic,intensive,quarterly,low,22125,98305,11817,256872
cattle,dairy,intensive,194,15,South-West,basic,intensive,weekly,low,26001,75048,13079,237129
poultry,broiler,intensive,334,33,North-West,basic,minimal,monthly,high,41781,54263,26076,330901
cattle,beef,semi-intensive,352,15,South-East,premium,standard,monthly,low,21017,42830,11256,272120
cattle,dairy,semi-intensive,326,19,North-Central,premium,intensive,monthly,medium,21531,80413,22185,308660
poultry,broiler,battery cage,328,50,North-West,basic,standard,monthly,high,34821,82236,10765,326643
cattle,beef,semi-intensive,22,13,South-East,premium,intensive,monthly,medium,20650,29449,28335,110084
poultry,broiler,battery cage,438,55,North-Central,standard,minimal,monthly,medium,32956,49850,22102,356864
cattle,dairy,extensive,312,14,North-Central,basic,intensive,quarterly,medium,32489,69883,28712,319573
cattle,beef,semi-intensive,267,21,North-Central,standard,minimal,weekly,high,35524,85243,29302,319093
cattle,dairy,semi-intensive,125,28,North-West,basic,intensive,quarterly,low,40269,75115,22945,241098
cattle,beef,intensive,283,35,South-East,basic,standard,quarterly,medium,33256,75245,5690,288947
cattle,beef,extensive,226,14,South-West,standard,minimal,quarterly,medium,22498,86599,6666,251261
poultry,layer,deep litter,11,18,South-West,premium,standard,quarterly,low,43110,65599,16818,174137
poultry,broiler,intensive,67,78,North-Central,premium,standard,weekly,medium,45437,70430,8421,203225
poultry,layer,battery cage,36,71,South-West,premium,intensive,monthly,high,49833,18023,29896,165585
poultry,broiler,deep litter,166,14,North-Central,basic,intensive,weekly,low,39516,18154,5970,186156
cattle,dairy,extensive,176,35,North-Central,basic,standard,quarterly,medium,15855,13329,29421,162460
poultry,broiler,battery cage,432,60,South-East,basic,minimal,monthly,high,45843,11801,26169,345656
cattle,dairy,intensive,31,23,North-West,basic,standard,monthly,medium,44592,97169,28975,230828
cattle,beef,intensive,331,17,South-West,basic,minimal,weekly,low,32780,40407,19370,290837
poultry,layer,intensive,184,30,North-West,standard,standard,weekly,low,15921,20945,19639,164426
poultry,broiler,battery cage,388,62,South-West,standard,intensive,monthly,low,42701,86654,18288,384344
cattle,beef,extensive,136,30,South-West,premium,minimal,quarterly,medium,40106,53956,6573,208741
cattle,dairy,intensive,51,29,South-East,basic,minimal,quarterly,medium,28710,10531,19412,112863
poultry,layer,battery cage,290,69,North-West,basic,intensive,monthly,medium,19690,24561,23176,232117
poultry,layer,battery cage,322,34,North-West,standard,standard,monthly,high,21364,37200,14419,255347
cattle,beef,semi-intensive,144,34,North-West,basic,standard,monthly,low,44142,68832,14116,243232
cattle,dairy,semi-intensive,323,13,South-East,standard,intensive,monthly,low,18799,28750,28787,256635
cattle,dairy,extensive,223,12,South-West,standard,standard,monthly,medium,33686,60885,15046,254803
poultry,broiler,deep litter,453,16,North-Central,standard,minimal,weekly,high,47296,38537,22037,381666
cattle,beef,semi-intensive,311,35,South-West,basic,intensive,monthly,medium,24900,12668,17395,235363
cattle,beef,intensive,161,32,North-West,basic,standard,monthly,medium,34237,72953,25591,247518
cattle,beef,extensive,490,32,South-West,standard,intensive,quarterly,low,32021,90158,13729,412929
poultry,broiler,intensive,80,18,South-East,premium,minimal,quarterly,low,20705,64562,17542,163514
cattle,beef,extensive,69,29,North-West,standard,standard,quarterly,high,43228,25536,20019,166511
cattle,dairy,semi-intensive,312,36,North-West,premium,minimal,quarterly,medium,17332,26731,19952,237347
cattle,beef,semi-intensive,281,26,North-West,standard,minimal,monthly,medium,39876,71859,20781,312892
cattle,beef,semi-intensive,260,17,North-Central,standard,minimal,weekly,low,22433,56486,14183,245535
poultry,layer,intensive,139,69,South-East,basic,intensive,weekly,high,36046,15414,12550,169556
cattle,beef,extensive,228,30,South-East,basic,standard,monthly,medium,17678,93895,21467,264718
cattle,dairy,extensive,467,20,South-East,standard,standard,monthly,medium,19226,54125,17196,343273
cattle,beef,extensive,85,31,South-East,basic,minimal,quarterly,medium,26955,77249,17125,190784
poultry,broiler,battery cage,220,24,North-Central,premium,standard,weekly,low,21911,24797,17113,195732
poultry,broiler,intensive,14,57,South-West,standard,standard,quarterly,low,25285,35667,29898,123135
poultry,layer,battery cage,62,11,South-East,standard,minimal,weekly,low,45616,20071,12883,155186
poultry,broiler,deep litter,104,51,South-West,standard,minimal,weekly,medium,30409,22539,9558,144915
poultry,broiler,deep litter,157,80,South-East,premium,intensive,monthly,medium,18370,21504,25730,162474
cattle,dairy,extensive,261,23,North-Central,premium,standard,monthly,low,18469,32299,17272,217009
poultry,broiler,battery cage,249,41,South-West,standard,intensive,monthly,low,47734,32627,21129,273724
poultry,layer,battery cage,215,11,South-East,premium,intensive,quarterly,high,39272,93865,25657,305566
cattle,dairy,intensive,206,27,South-West,basic,minimal,monthly,low,38468,65865,6000,251801
poultry,layer,battery cage,109,54,South-West,premium,minimal,quarterly,low,26784,19330,19935,147333
cattle,dairy,intensive,83,36,South-East,basic,minimal,monthly,medium,26007,87371,25706,206591
poultry,broiler,battery cage,207,20,North-West,standard,standard,weekly,medium,19676,22873,6183,171908
poultry,broiler,battery cage,309,11,North-West,premium,intensive,monthly,medium,40956,44436,19562,300410
poultry,layer,battery cage,132,72,North-Central,premium,minimal,monthly,high,30012,79028,19687,224739
poultry,layer,deep litter,314,13,North-Central,premium,standard,monthly,high,23076,40096,23702,266950
cattle,dairy,semi-intensive,145,29,North-West,basic,minimal,quarterly,low,42065,57701,7807,222138
poultry,broiler,battery cage,263,69,North-Central,standard,standard,monthly,medium,16253,24847,15132,203985
cattle,beef,extensive,207,18,South-East,basic,minimal,monthly,medium,44045,57111,23738,272439
poultry,layer,intensive,264,60,North-Central,basic,intensive,quarterly,high,42406,75502,9504,301818
poultry,broiler,battery cage,182,55,North-Central,basic,minimal,monthly,high,36844,85082,26587,276357
poultry,layer,battery cage,447,54,North-West,basic,minimal,monthly,low,34311,64152,29565,385839
poultry,layer,deep litter,181,64,South-West,premium,minimal,weekly,medium,34822,11788,18065,189997
cattle,dairy,extensive,474,13,North-Central,basic,standard,weekly,low,20437,52237,6905,337016
cattle,beef,extensive,412,28,South-East,standard,standard,weekly,medium,29991,57464,18248,341694
cattle,dairy,semi-intensive,132,20,South-West,basic,minimal,monthly,high,20176,54901,29905,191158
cattle,beef,extensive,291,16,North-Central,basic,minimal,monthly,low,49514,52253,11885,308666
poultry,broiler,battery cage,161,65,North-Central,standard,intensive,monthly,high,18835,94027,28561,240758
poultry,layer,deep litter,49,6,South-East,premium,minimal,weekly,high,43326,20213,14921,146286
poultry,layer,intensive,400,14,South-East,basic,intensive,quarterly,medium,35474,88274,26420,385642
poultry,layer,intensive,92,25,South-West,standard,minimal,quarterly,medium,24194,72794,29300,196482
cattle,beef,extensive,57,33,South-West,premium,standard,quarterly,medium,32197,18938,18418,130250
cattle,dairy,semi-intensive,110,19,North-West,basic,minimal,quarterly,medium,29708,60051,7728,182195
cattle,beef,intensive,205,15,South-East,basic,intensive,monthly,low,27141,43078,26702,226562
cattle,beef,extensive,113,22,North-West,premium,standard,quarterly,low,47457,11553,27036,190003
poultry,layer,deep litter,433,42,South-West,standard,standard,weekly,medium,22172,98955,26588,386387
poultry,broiler,intensive,50,77,North-Central,basic,standard,weekly,low,24685,86136,18617,179123
cattle,beef,semi-intensive,198,23,North-West,basic,intensive,quarterly,low,32396,78626,17545,259963
cattle,dairy,semi-intensive,50,12,North-Central,basic,intensive,weekly,medium,26073,48930,7690,133766
poultry,broiler,intensive,394,71,South-West,premium,intensive,monthly,low,15892,67347,16772,312903
cattle,dairy,extensive,369,35,North-Central,standard,minimal,quarterly,low,20014,85065,19986,329579
cattle,beef,extensive,22,15,North-Central,basic,standard,quarterly,low,26806,46274,18914,129800
poultry,broiler,deep litter,323,46,North-Central,premium,intensive,weekly,high,18110,10006,18185,225911
poultry,broiler,deep litter,27,8,North-West,premium,minimal,weekly,low,28814,42282,25103,138513
cattle,dairy,intensive,500,25,North-West,standard,intensive,quarterly,high,47899,40356,6064,392218
cattle,dairy,extensive,263,35,North-West,standard,minimal,weekly,medium,24779,51481,17279,249818
poultry,broiler,intensive,406,35,North-Central,standard,minimal,weekly,low,47635,37053,12188,347511
poultry,broiler,intensive,365,30,South-West,premium,intensive,quarterly,low,30061,95153,24822,362597
cattle,beef,extensive,235,27,South-West,premium,minimal,quarterly,high,25538,33411,24643,226630
poultry,layer,intensive,343,51,North-Central,standard,standard,monthly,medium,35051,71111,11533,324246
cattle,beef,semi-intensive,32,33,South-East,basic,intensive,weekly,medium,37905,69803,24833,186446
cattle,dairy,intensive,389,12,South-West,standard,intensive,monthly,medium,21526,67618,18631,323801
cattle,beef,extensive,310,20,North-Central,basic,minimal,weekly,low,46231,25706,23619,296787
cattle,beef,extensive,498,22,South-West,premium,intensive,weekly,high,36360,84732,21703,428155
poultry,broiler,deep litter,161,21,North-Central,premium,intensive,quarterly,low,27493,75366,19050,229902
poultry,broiler,deep litter,254,56,North-West,standard,minimal,monthly,high,25026,19819,9669,206540
poultry,layer,intensive,111,60,South-East,premium,intensive,weekly,medium,40687,99984,20282,257140
poultry,broiler,intensive,216,78,North-Central,premium,minimal,monthly,low,44478,21675,6904,225535
cattle,dairy,semi-intensive,305,14,South-West,premium,intensive,monthly,high,21795,76783,20002,292875
poultry,broiler,deep litter,422,16,South-West,basic,minimal,monthly,medium,22497,39168,5543,300705
poultry,layer,battery cage,299,57,North-Central,basic,standard,weekly,medium,17995,16027,21680,223197
cattle,beef,intensive,357,30,South-West,basic,intensive,weekly,high,48907,31089,22850,330253
cattle,beef,intensive,358,25,North-West,premium,minimal,monthly,low,48820,36786,16146,329572
poultry,broiler,deep litter,120,54,South-West,standard,standard,quarterly,medium,46888,73722,13678,241176
cattle,dairy,extensive,345,33,South-East,premium,intensive,quarterly,low,32047,45602,10715,292911
poultry,broiler,deep litter,240,38,North-West,standard,standard,quarterly,high,25755,61893,9015,242418
cattle,beef,intensive,102,12,North-West,standard,minimal,weekly,high,37364,24745,9363,159836
poultry,broiler,deep litter,167,21,North-Central,basic,standard,quarterly,medium,16202,60331,11485,187720
cattle,beef,semi-intensive,238,24,North-Central,basic,standard,quarterly,high,42013,20094,25534,248654
poultry,layer,intensive,88,39,North-Central,standard,standard,quarterly,high,39973,39375,12562,175883
poultry,broiler,deep litter,418,75,North-Central,basic,intensive,weekly,medium,41210,78316,26577,396313
cattle,beef,intensive,303,31,North-Central,basic,standard,weekly,medium,16577,16764,7669,209087
cattle,dairy,intensive,171,21,South-East,basic,standard,monthly,high,46379,42642,6211,227111
cattle,beef,extensive,56,14,North-West,standard,intensive,weekly,low,37569,70002,16661,189801
poultry,broiler,deep litter,434,42,South-West,standard,intensive,weekly,medium,43748,87352,26946,418794
cattle,dairy,extensive,195,15,South-East,premium,intensive,weekly,medium,42089,24785,19400,225863
cattle,beef,extensive,391,14,South-East,standard,intensive,monthly,low,45871,59660,11384,358286
cattle,dairy,semi-intensive,139,31,South-East,standard,minimal,weekly,low,36599,60610,13531,216839
cattle,dairy,semi-intensive,126,18,South-West,premium,standard,weekly,low,38868,43007,26866,210609
poultry,layer,deep litter,80,53,North-West,basic,minimal,weekly,low,18856,19054,20526,117292
poultry,broiler,deep litter,453,69,North-Central,premium,standard,quarterly,low,41272,74993,12075,396112
cattle,dairy,intensive,460,32,North-West,standard,minimal,monthly,low,20612,94899,14799,380922
cattle,beef,extensive,63,13,South-West,basic,minimal,monthly,low,49211,62186,15233,207341
poultry,broiler,battery cage,230,8,South-West,premium,minimal,quarterly,high,23464,57331,10771,230030
cattle,beef,intensive,64,28,South-East,premium,intensive,monthly,medium,30338,72431,20172,185279
cattle,beef,extensive,479,14,South-East,premium,minimal,weekly,medium,30636,19475,21185,341432
